"plays","downloads","loads","finishes","start_date","end_date","likes","comments","mean_percent","mean_seconds","sum_seconds","total_seconds"
116,7,2248,11,2017-01-01,2017-02-01,0,0,52,142,16538,31746
135,200,1996,14,2017-02-01,2017-03-01,0,0,51,164,22190,43183
376,6,2608,35,2017-03-01,2017-04-01,0,0,32,86,32351,98507
340,4,1777,31,2017-04-01,2017-05-01,0,0,37,97,33068,88278
291,1,2160,25,2017-05-01,2017-06-01,0,0,37,103,30095,80632
296,1,2761,20,2017-06-01,2017-07-01,0,0,28,72,21336,74403
329,1,1426,25,2017-07-01,2017-08-01,0,0,32,78,25983,81120
360,0,1928,17,2017-08-01,2017-09-01,0,0,26,56,20515,78674
365,1,1802,50,2017-09-01,2017-10-01,0,0,38,78,28563,74861
271,1,2805,15,2017-10-01,2017-11-01,0,0,31,46,12677,40292
316,6,2560,38,2017-11-01,2017-12-01,0,0,39,71,22636,56807
234,1,1615,20,2017-12-01,2018-01-01,0,0,41,70,16587,40187
"
",,,,,,,,,,,
