Video,Video ID,Video length (minutes),Video created,Likes,Dislikes,Views,Watch time (minutes),Watch time (hours),Average view duration (minutes),Average percentage viewed,Subscriber views,Subscriber minutes watched,Card clicks,Card impressions,Card click rate,Card teaser clicks,Card teaser impressions,Card teaser click rate,Total estimated earnings (USD),YouTube Red earnings (USD),Ad earnings (USD),AdSense earnings (USD),DoubleClick earnings (USD),Transaction earnings (USD),Transactions,Earnings per transaction (USD),Estimated monetized playbacks,Playback-based CPM (USD),Impressions,Impression-based CPM (USD),Gross revenue (USD),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours),Clicks,Clickable impressions,Click through rate,Closes,Closable impressions,Close rate,Impressions,Likes added,Likes removed,Dislikes added,Dislikes removed,Shares,Comments,Favorites,Favorites added,Favorites removed,Videos in playlists,Videos added to playlists,Videos removed from playlists,Subscribers,Subscribers gained,Subscribers lost
MyPaint - Zeichenprogramm,YGlbFrvZ3DI,7.98,"Mar 15, 2012",30,4,6758,10281,171,1.62,20.29,9,20,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,30,0,4,0,0,6,2,3,1,13,18,5,4,4,0
Gnome3 - gnome-tweak-tool,JvL7grYgm7Q,2.20,"Apr 26, 2011",14,13,27900,4610,77,0.92,41.82,18,15,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,2,0,0,0,0.00,0,0,0.00,0,14,0,13,0,0,18,5,6,1,-1,4,5,10,11,1
Fedora 17 Beta - Demo,krdutZKGX-w,4.88,"Apr 17, 2012",13,4,14463,4362,73,1.23,25.26,2,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,15,2,4,0,3,11,0,1,1,-1,0,1,6,6,0
Fedora 20 Alpha - Gnome 3.10 - Demo,Vy4b2oRC2GM,7.15,"Sep 28, 2013",12,4,7739,11603,193,1.50,20.97,12,27,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,12,0,4,0,4,6,1,1,0,-2,0,2,5,5,0
Informationen über ein Youtube-Video auslesen - Youtube Data API,3W41GRAx0lQ,4.70,"Oct 25, 2012",11,0,883,1458,24,1.65,35.14,23,49,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,12,1,2,2,3,19,1,2,1,3,4,1,2,2,0
"Python-Programmierung - Das erste ""nützliche"" Programm",V9XBq57NrIw,5.50,"Sep 04, 2013",10,1,4456,11537,192,2.59,47.07,147,447,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,10,0,1,0,0,1,0,0,0,3,6,3,0,1,1
Git für Einsteiger - Was ist Git ?,lVzEQQQGhxI,7.47,"Feb 01, 2015",10,0,349,990,17,2.84,38.00,65,236,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,11,52,21.15,1,52,1.92,52,10,0,0,0,1,2,0,0,0,7,10,3,0,0,0
Raspberry Pi - arkos installieren (Self-Hosting ganz einfach),_-eE1HDBGuI,5.68,"Nov 06, 2013",10,1,7235,12475,208,1.72,30.34,71,195,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,65,4756,1.37,1540,4756,32.38,4756,10,0,1,0,2,2,4,4,0,5,11,6,2,2,0
Gimp - Pfeile erzeugen,_n5BdTNw2SE,5.57,"Jan 02, 2014",10,2,3848,7410,124,1.93,34.59,14,38,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,2,0.00,0,2,0.00,2,10,0,2,0,1,4,1,1,0,9,12,3,1,1,0
Python-Programmierung - For-Schleife,UMFFpg1hGV8,3.38,"Mar 20, 2011",9,1,3677,5266,88,1.56,46.13,83,162,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,10,1,1,0,1,4,1,1,0,1,5,4,13,13,0
