Traffic source type,Watch time (minutes),Views,Average view duration (minutes),Average percentage viewed,Watch time (hours),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours)
YT_SEARCH,179801,151135,1.45,27.11,2997,13,20,0
EXT_URL,97553,72836,1.46,29.90,1626,8,10,0
PLAYLIST,68282,29135,2.34,53.28,1138,0,0,0
UNKNOWN_MOBILE_OR_DIRECT,49440,38753,1.55,31.98,824,0,0,0
YT_RELATED,47264,54028,1.61,31.75,788,0,0,0
YT_CHANNEL,10909,8952,1.51,35.49,182,0,0,0
GOOGLE_SEARCH,10451,16162,1.49,36.07,174,0,0,0
SUBSCRIBER,9478,6166,1.70,36.84,158,0,0,0
UNKNOWN_EMBEDDED,8962,7656,1.41,28.71,149,0,0,0
YT_OTHER_PAGE,7266,5182,2.00,45.69,121,0,0,0
EXT_APP,2048,1071,1.91,36.96,34,0,0,0
YT_PLAYLIST_PAGE,1338,750,1.78,40.07,22,0,1,0
ANNOTATION,502,228,2.21,39.33,8,0,0,0
NOTIFICATION,106,60,1.77,45.86,2,0,0,0
PROMOTED,0,1,0.00,0.00,0,0,0,0
